observation_date,JPNNGDP
1994-01-01,521941.2
1994-04-01,519837.9
1994-07-01,522900.5
1994-10-01,521992.4
1995-01-01,524160.2
1995-04-01,527577.5
1995-07-01,534038.6
1995-10-01,535746.6
1996-01-01,540505.3
1996-04-01,546511.7
1996-07-01,546701.5
1996-10-01,551598.5
1997-01-01,553236.2
1997-04-01,554781.4
1997-07-01,554537.3
1997-10-01,555062.8
1998-01-01,545593.9
1998-04-01,541528.2
1998-07-01,540281.7
1998-10-01,545937.0
1999-01-01,534641.1
1999-04-01,535342.5
1999-07-01,534871.5
1999-10-01,533968.6
2000-01-01,542411.7
