observation_date,JPNRGDPEXP
1994-01-01,465062.6
1994-04-01,461497.1
1994-07-01,466135.7
1994-10-01,464394.6
1995-01-01,468893.1
1995-04-01,473155.3
1995-07-01,478592.4
1995-10-01,479788.2
1996-01-01,484267.3
1996-04-01,489499.6
1996-07-01,490385.3
1996-10-01,495640.6
1997-01-01,498905.2
1997-04-01,495401.7
1997-07-01,496172.6
1997-10-01,496111.0
1998-01-01,488261.9
1998-04-01,485565.5
1998-07-01,486201.1
1998-10-01,490395.6
1999-01-01,483234.2
1999-04-01,485677.9
1999-07-01,488375.1
1999-10-01,488082.4
2000-01-01,497254.4
